location,area_sqft,bhk,bath,price
Amreli,1401,5,2,7562601
Anand,3894,5,1,24909992
Nadiad,2841,2,2,13434180
Porbandar,3184,5,3,18964397
Valsad,1958,5,3,11685146
Godhra,1115,5,2,5589288
Nadiad,1752,5,3,11666950
Vadodara,582,1,1,3695236
Valsad,2076,5,4,14793302
Surat,4429,5,3,35650968
Godhra,4306,2,4,17741570
Bhavnagar,840,2,4,4139509
Gondal,2021,3,2,9454108
Surendranagar,3179,4,2,17475603
Junagadh,2964,2,4,12439645
Veraval,2380,2,1,9800448
Bhuj,3775,2,2,19667527
Surendranagar,1905,2,4,10525110
Gondal,4435,3,4,19997661
Dwarka,4490,4,2,22994360
Amreli,748,1,3,3066099
Jetpur,2690,5,1,15480104
Botad,1447,3,3,7754284
Patan,720,4,1,3475137
Navsari,3319,5,3,17226147
Veraval,2641,5,1,13168436
Junagadh,3576,3,3,17674623
Patan,1531,2,4,7047460
Vadodara,668,2,3,4604573
Gondal,1570,5,2,8214543
Surendranagar,1681,4,3,9080168
Sidhpur,2805,4,1,12447111
Gandhinagar,3762,5,3,35806009
Surat,4237,3,2,30431948
Jetpur,1746,5,4,8925848
Gandhidham,608,5,1,3227568
Veraval,2919,4,2,15550073
Morbi,3711,5,4,23435552
Rajkot,1481,5,2,9811810
Jetpur,3436,3,2,16419858
Dahod,3252,3,4,12683517
Gandhidham,2635,5,3,14988931
Godhra,2717,2,4,11262514
Amreli,2590,3,1,11553115
Bhuj,3582,3,2,17020356
Palanpur,997,3,4,5085609
Jetpur,2102,2,3,11112973
Vapi,1474,1,2,7614191
Porbandar,2257,1,1,8946193
Jetpur,1173,2,1,5898112
Mehsana,3683,4,4,24170742
Palanpur,2981,3,1,14929587
Jamnagar,2252,5,1,14105949
Bharuch,3773,2,1,19575330
Dwarka,4408,2,3,25101533
Ahmedabad,2794,5,1,24827413
Dahod,2681,4,4,13512110
Anand,4480,4,3,23942719
Gandhinagar,3058,2,4,24354178
Bharuch,465,3,3,2414598
Navsari,1787,5,4,11927167
Surendranagar,1060,4,1,4775354
Anand,4261,3,2,19696478
Bhuj,2279,4,3,14198996
Godhra,443,3,3,2111744
Rajkot,1318,4,3,7550067
Godhra,1311,3,3,6114752
Porbandar,1444,4,2,7111748
Patan,3756,5,4,21930374
Morbi,2377,5,1,12515014
Patan,989,5,1,4299257
Navsari,1577,2,3,8737876
Veraval,1302,2,4,5922946
Veraval,805,4,2,4416911
Gondal,822,5,4,5032596
Godhra,528,4,3,2750110
Morbi,948,1,4,4107173
Bhavnagar,843,1,4,3457406
Mahuva,1824,2,4,8286294
Bhuj,4024,4,4,19985704
Anand,3198,1,2,17505569
Dwarka,1393,2,1,7246682
Godhra,4142,5,4,21599373
Porbandar,2377,4,3,10981580
Navsari,1274,1,4,6391722
Surat,2321,2,1,12676406
Vadodara,4007,5,1,26146509
Vadodara,3645,4,2,25410807
Rajkot,1497,5,3,9252310
Surendranagar,2976,2,3,15502685
Porbandar,3737,3,3,15841612
Bharuch,3849,5,4,19475037
Amreli,3472,5,3,18915272
Mahuva,1572,3,4,7133814
Jetpur,2324,2,3,12046783
Nadiad,4143,1,4,23349503
Anand,3531,2,3,16905768
Jamnagar,4034,3,1,20470160
Navsari,772,3,4,4439923
Vadodara,946,2,2,5786010
Dahod,2833,1,2,11465729
Gandhinagar,4273,2,2,29897853
Gandhidham,2984,3,4,16877939
Amreli,2876,3,3,13363370
Sidhpur,4167,1,4,18930806
Surendranagar,2014,3,3,9771265
Porbandar,1545,1,3,6763016
Mahuva,2768,2,2,11722422
Bhuj,2363,4,3,12083755
Sidhpur,4368,4,2,22167876
Amreli,1736,2,4,7078599
Rajkot,627,1,1,3399761
Mahuva,1476,2,1,6770461
Ahmedabad,2141,5,4,17755494
Jetpur,4346,1,1,18263286
Mahuva,447,1,3,1946816
Palanpur,490,5,4,2898834
Bharuch,1226,1,2,4973678
Valsad,3253,3,4,17662282
Dwarka,4110,5,2,27635108
Porbandar,2807,1,1,10063044
Bhuj,3439,5,4,17851120
Ahmedabad,1753,1,4,13234546
Dahod,1131,5,1,4559122
Jetpur,2570,1,1,11274328
Vapi,619,2,3,3250718
Morbi,1531,4,1,7150497
Gandhidham,3537,5,3,21132671
Anand,992,5,3,5337053
Botad,2251,1,3,10238076
Dwarka,3023,1,3,15785912
Veraval,4369,2,3,22281303
Bhuj,3887,2,4,17267993
Palanpur,2368,1,1,8764795
Bhuj,1613,4,3,8515693
Jamnagar,392,3,4,2058364
Vapi,1187,2,1,6223225
Veraval,3692,1,1,14477711
Jamnagar,3007,4,1,14989411
Bhuj,1043,5,2,5998763
Mehsana,3468,2,2,17157859
Vapi,4389,2,1,22861899
Vapi,3799,3,4,27402276
Patan,2411,2,4,11401224
Navsari,4100,1,2,17737961
Dwarka,3071,5,4,20815083
Dahod,3956,3,4,18505707
Anand,2811,3,2,15080617
Bharuch,3612,3,3,19651120
Sidhpur,2335,3,4,10403916
Dwarka,3340,1,2,16075289
Bharuch,570,4,2,2926606
Palanpur,916,4,4,4226090
Godhra,2332,3,2,10868763
Bhuj,955,4,4,5533224
Mahuva,651,3,1,2645555
Gandhidham,3258,2,1,16404151
Dwarka,3066,4,1,14253763
Valsad,2168,5,2,13890109
Dwarka,4143,5,2,23275663
Surat,4304,1,3,25854352
Jamnagar,1300,2,3,6171247
Gondal,2044,5,4,11388156
Junagadh,3939,4,3,17679710
Vadodara,1292,1,3,8022072
Mehsana,2348,5,2,14919069
Dahod,3842,4,2,17859610
Bharuch,1876,4,4,8955985
Navsari,4032,5,4,23775510
Morbi,2035,3,1,9769028
Bharuch,3346,3,2,16351434
Valsad,4359,5,3,30026966
Dwarka,1285,3,3,7692964
Bharuch,2786,5,1,15645726
Surendranagar,1315,2,3,5484807
Patan,1508,5,4,7995830
Anand,3493,4,2,19844624
Bharuch,1716,4,3,8265453
Surendranagar,4044,5,1,23384906
Ahmedabad,4319,2,2,32517583
Sidhpur,3701,4,4,19754258
Veraval,4353,2,1,21017367
Porbandar,2742,1,3,10871967
Palanpur,1727,4,4,9032393
Gandhinagar,1285,3,3,10236392
Vadodara,3965,5,2,32895921
Junagadh,2377,3,1,10740290
Amreli,1062,4,1,5293909
Gandhidham,2069,5,3,14140081
Botad,1709,5,2,9962807
Morbi,836,5,3,4674811
Mehsana,3001,3,3,17733294
Junagadh,1460,4,1,8088570
Anand,1437,2,2,7768222
Gandhidham,3567,4,2,20802802
Vapi,3743,4,4,23097985
Jamnagar,3650,5,3,22857647
Patan,4074,4,3,20912745
Jamnagar,4105,3,1,22391944
Dwarka,2134,4,2,11899143
Surendranagar,2673,3,2,13174517
Sidhpur,3165,1,1,10827845
Gondal,483,1,2,2083103
Ahmedabad,3854,2,2,29534719
Godhra,1652,3,1,7350970
Valsad,1025,3,2,5211388
Godhra,2268,4,1,10809210
Ahmedabad,2098,4,1,14048661
Porbandar,3995,1,1,17170930
Gandhinagar,3809,2,4,25444324
Bhuj,1081,1,1,4453766
Godhra,1473,4,2,7107369
Nadiad,910,5,1,5365295
Mehsana,3955,3,2,23067643
Nadiad,3722,5,4,25604759
Jamnagar,1173,2,1,5702670
Bhuj,3229,4,3,19274502
Gandhidham,2618,1,2,12726691
Palanpur,569,3,2,2637034
Navsari,3559,3,1,19351795
Gandhidham,4404,4,1,22547144
Bhavnagar,448,3,3,2083045
Mahuva,3343,5,2,18921914
Bhavnagar,486,5,1,2281659
Morbi,676,1,4,3073563
Mahuva,3819,4,1,19260921
Nadiad,2623,1,3,11100876
Morbi,1622,5,3,8699572
Bhavnagar,2890,4,2,13462881
Jamnagar,3909,1,4,19597132
Rajkot,2883,2,1,13249568
Anand,442,2,4,2696206
Valsad,1717,3,2,10770916
Vapi,1317,1,3,8246157
Vapi,873,3,1,5331602
Patan,804,4,2,3765864
Valsad,1192,5,1,6937591
Ahmedabad,710,1,2,3993690
Patan,3487,2,2,17072096
Vadodara,3785,2,3,22210897
Surendranagar,2572,1,3,10092142
Rajkot,1819,2,1,11031077
Bhavnagar,4160,3,3,20575050
Gondal,415,3,2,1928791
Godhra,2337,4,3,11442754
Sidhpur,1950,5,2,8770721
Mahuva,545,2,3,2598082
Ahmedabad,3094,1,4,23381359
Godhra,1201,2,2,4853096
Rajkot,1516,3,1,7463500
Porbandar,3733,3,4,21237481
Jamnagar,1132,5,2,6779220
Dwarka,963,5,1,5396848
Anand,2289,3,3,14015206
Dwarka,3022,3,4,15780223
Bhavnagar,2010,2,1,8381306
Mehsana,4032,4,3,23980713
Amreli,2050,4,3,9920044
Gandhinagar,1090,2,3,8861720
Vadodara,2111,3,2,12129441
Gandhidham,3264,4,1,19006406
Valsad,1774,1,4,10740760
Gandhidham,1125,4,1,6780830
Anand,1344,1,1,6847077
Porbandar,1420,2,4,6446621
Jamnagar,2470,1,1,12593635
Navsari,3982,2,1,21092684
Dahod,1353,1,4,4467561
Botad,3585,4,1,17175905
Botad,1765,3,2,9549791
Vapi,2642,4,2,15197029
Gandhidham,2767,4,4,18562534
Jetpur,849,1,3,3619022
Mahuva,1983,5,2,10823329
Surat,3483,3,4,25192387
Sidhpur,3168,5,3,15794890
Bharuch,563,3,2,2403830
Vapi,829,4,3,6118007
Porbandar,1657,1,2,7257323
Vapi,808,2,4,4865160
Bharuch,1792,2,3,9376405
Amreli,581,3,2,2661502
Navsari,4382,5,3,23514984
Vadodara,1089,1,2,6485316
Surat,4265,1,3,29459451
Navsari,1418,3,2,8229956
Surendranagar,837,1,2,3679728
Nadiad,1258,5,3,8639160
Patan,3590,5,1,17037869
Surendranagar,1467,2,4,7684101
Sidhpur,2949,2,3,11840700
Bharuch,3449,3,3,15656584
Ahmedabad,3557,5,1,25498603
Surendranagar,2159,5,1,12718552
Nadiad,3062,1,2,13711413
Surendranagar,1725,1,3,7494186
Valsad,2067,2,1,10588725
Junagadh,360,1,4,1566958
Mahuva,1712,4,4,10046740
Amreli,3424,1,4,15669426
Porbandar,1682,4,1,8859671
Vadodara,2765,1,3,15313543
Junagadh,957,3,2,5030749
Mehsana,964,5,1,5581726
Jetpur,603,4,2,3177206
Botad,1636,1,1,6476016
Navsari,3702,5,3,22965353
Godhra,2295,1,1,8395554
Sidhpur,1608,1,3,5647119
Jamnagar,2762,5,4,15359348
Surat,2045,2,3,15257798
Jetpur,1296,3,4,6575852
Valsad,1096,5,4,6857244
Bhuj,3376,2,4,14793813
Veraval,4159,3,2,23626528
Rajkot,1588,1,1,8386549
Mahuva,2213,5,1,12417977
Mahuva,4239,5,2,22133804
Jamnagar,3584,1,2,14622663
Veraval,1766,2,2,9392622
Anand,699,4,1,4421019
Botad,2004,2,3,8914323
Bhavnagar,1062,4,4,6100337
Vapi,4103,1,4,21511662
Nadiad,1564,5,1,10039903
Junagadh,2693,5,3,16175569
Valsad,3487,4,4,19728512
Vapi,3651,2,4,19870708
Dahod,2296,1,4,9792208
Patan,515,3,3,2309100
Sidhpur,1154,2,2,4612530
Veraval,2978,3,4,16800891
Jamnagar,1889,4,2,11568101
Mahuva,4318,5,3,25549117
Mehsana,887,3,4,4717824
Surat,1773,2,2,12393544
Gandhidham,620,4,1,3851117
Navsari,2594,3,4,14221498
Gandhinagar,600,2,3,4439995
Veraval,1804,4,3,9687085
Valsad,1090,3,1,5983865
Mehsana,2105,2,2,11743877
Vapi,3704,5,1,27887721
Ahmedabad,4233,2,2,30050039
Ahmedabad,2183,3,3,17439158
Vapi,3821,4,3,25852852
Morbi,4173,3,4,21879839
Ahmedabad,3415,5,3,26918999
Junagadh,4296,1,3,21151553
Surendranagar,2618,3,3,11845716
Gandhidham,815,5,4,5424880
Anand,558,4,3,3045697
Mahuva,3664,4,1,18181805
Navsari,3161,2,4,18257674
Amreli,2809,2,2,11204306
Jetpur,1398,3,2,7640124
Dahod,1081,2,3,3906459
Godhra,3794,3,3,15929979
Palanpur,4149,1,4,15618510
Bhavnagar,4218,2,1,21643072
Bhuj,2794,4,1,16070875
Nadiad,1475,2,3,7368713
Gondal,1523,3,2,8148112
Sidhpur,3074,2,3,13950680
Ahmedabad,4053,3,2,31879617
Mehsana,1647,4,1,8474477
Botad,3867,4,4,23742360
Bhuj,388,1,2,1858168
Ahmedabad,2989,5,2,20906709
Ahmedabad,2388,2,3,16019407
Junagadh,3492,5,3,17062547
Vadodara,2792,3,4,20550214
Dahod,3902,2,3,17552990
Sidhpur,3292,2,2,15793147
Dwarka,506,2,2,2689970
Anand,2080,1,2,8863691
Vadodara,3423,3,1,22268920
Rajkot,1235,1,1,6561417
Mahuva,3989,4,1,19593349
Jetpur,1604,2,1,6692594
Junagadh,2561,5,2,13146918
Junagadh,1314,3,1,6525173
Sidhpur,1977,5,2,10701195
Navsari,3282,4,3,16634920
Sidhpur,2051,4,3,9256223
Ahmedabad,1079,1,4,6645235
Jamnagar,964,1,3,4742312
Gondal,2775,3,4,12626492
Bharuch,673,3,3,3728062
Surendranagar,3839,1,1,17617865
Vadodara,429,2,2,2507996
Veraval,2547,1,3,13127312
Bharuch,1282,4,4,8047957
Vapi,3509,4,4,25780097
Mehsana,1276,2,1,7493123
Mehsana,1199,4,4,8201912
Veraval,1834,5,4,12085179
Surat,1420,4,4,9505476
Mahuva,3960,1,1,14985013
Surendranagar,451,5,2,2765659
Dahod,1130,4,2,4808189
Bhuj,1567,5,1,7351345
Mehsana,4491,4,4,31273500
Bhavnagar,4377,3,2,21058814
Vapi,762,5,2,5420511
Bhuj,3653,2,1,16729927
Veraval,1071,4,4,5862941
Sidhpur,495,1,4,2036217
Ahmedabad,1094,5,3,10202217
Morbi,4087,3,3,22265749
Porbandar,4072,3,4,21637272
Patan,4057,1,1,17321141
Porbandar,367,3,3,1955274
Palanpur,3412,1,1,15110005
Sidhpur,1500,4,1,6426247
Navsari,1886,1,4,8397251
Navsari,3118,1,4,13137162
Gandhinagar,4040,4,2,37052553
Ahmedabad,747,5,4,7067285
Jetpur,1801,5,2,10345648
Anand,1198,4,3,7040098
Bhuj,3779,5,2,19884710
Dahod,2759,4,2,10558035
Godhra,2921,5,2,13018665
Palanpur,3178,2,2,13838990
Surendranagar,1295,3,4,6786689
Mahuva,2692,4,1,13129413
Surat,3470,2,1,22508007
Navsari,2537,2,3,13422108
Nadiad,858,3,2,4869832
Vadodara,3288,4,1,22743598
Porbandar,3535,2,3,17120872
Rajkot,3475,4,4,25744085
Surendranagar,790,1,3,3184819
Veraval,2197,3,2,12279064
Navsari,2759,4,2,17203465
Bhavnagar,1881,2,1,8406598
Botad,2636,5,3,13029467
Valsad,396,3,4,2600243
Nadiad,677,2,3,3572026
Godhra,4368,5,3,19216587
Surendranagar,2151,2,1,10321085
Mehsana,3757,5,4,21928371
Porbandar,2097,3,3,9779611
Morbi,4240,5,1,19672538
Amreli,4000,2,2,19243185
Surendranagar,3474,1,4,14647186
Palanpur,552,5,3,2927886
Veraval,4337,1,3,22849888
Navsari,2974,5,1,18797785
Mehsana,410,1,2,2145779
Morbi,3825,1,2,16582568
Botad,940,2,1,4113816
Dahod,660,1,1,2001788
Valsad,927,5,2,6756831
Mahuva,3528,4,4,18268546
Surat,3540,1,1,21411644
Bhavnagar,722,1,3,3750138
Junagadh,2724,3,1,11696187
Veraval,3474,4,1,18295318
Porbandar,1467,4,3,8543997
Nadiad,2791,3,1,14545177
Nadiad,1359,1,1,6315165
Dwarka,1047,3,2,5934020
Amreli,2084,4,2,8926781
Porbandar,2420,2,1,9497316
Rajkot,4128,5,1,24498497
Bhavnagar,2403,1,2,11492270
Sidhpur,3060,3,2,14451280
Gandhidham,1169,3,1,6840264
Surendranagar,4330,4,3,23539117
Godhra,1598,5,3,8748670
Botad,1731,1,3,7074251
Porbandar,3922,3,3,17033117
Dahod,4281,4,4,18581604
Godhra,4339,5,1,18624846
Jamnagar,2648,2,2,12031457
Bhavnagar,967,1,1,4596772
Dwarka,2092,1,3,10218674
Jetpur,1567,3,4,7372522
Palanpur,1446,4,1,6633628
Ahmedabad,2306,5,2,20169865
Anand,4005,2,2,20788918
Nadiad,4310,3,1,20305302
Sidhpur,2248,1,3,8877473
Vadodara,2043,5,3,14768287
Gondal,730,1,3,2915493
Vapi,2507,5,2,16943764
Bhuj,3342,5,1,18367110
Bhuj,2175,5,4,12410796
Amreli,4338,4,1,20027977
Anand,3953,2,2,17650371
Vapi,2082,2,2,11134809
Gandhinagar,2236,4,3,19785432
Jetpur,4272,4,2,22404095
Mahuva,533,2,1,2055853
Mehsana,1453,5,1,9834938
Nadiad,808,2,3,4656382
Dwarka,502,3,1,2363356
Jetpur,4295,2,2,21478539
Nadiad,1839,5,3,10057688
Dahod,4064,5,1,16382450
Bhuj,1433,1,1,5702165
Mahuva,1575,5,1,7284487
Vadodara,4473,1,1,24988473
Anand,359,4,4,2084987
Vadodara,3864,2,4,27283051
Bhuj,3221,5,1,17234297
Valsad,4258,2,1,21366201
Mahuva,2461,2,1,11294827
Ahmedabad,1315,5,1,10010495
Morbi,2937,4,3,13673484
Botad,2427,3,4,12653541
Vapi,3605,2,4,23009037
